step,plants_available,prey,predators,competitors
522,176,0,0,12
523,175,0,0,12
524,176,0,0,12
525,177,0,0,12
526,178,0,0,14
527,176,0,0,10
528,177,0,0,9
529,178,0,0,9
530,178,0,0,9
531,179,0,0,10
532,178,0,0,10
533,178,0,0,9
534,179,0,0,10
535,181,0,0,10
536,179,0,0,11
537,176,0,0,11
538,174,0,0,9
539,175,0,0,9
540,175,0,0,10
541,173,0,0,11
542,170,0,0,11
543,170,0,0,13
544,168,0,0,12
545,166,0,0,13
546,164,0,0,13
547,162,0,0,13
548,166,0,0,14
549,166,0,0,15
550,163,0,0,15
551,168,0,0,14
552,165,0,0,14
553,168,0,0,15
554,171,0,0,15
555,170,0,0,16
556,171,0,0,16
557,172,0,0,15
558,172,0,0,14
559,167,0,0,14
560,165,0,0,13
561,164,0,0,13
562,162,0,0,12
563,163,0,0,13
564,167,0,0,14
565,166,0,0,16
566,162,0,0,17
567,160,0,0,17
568,162,0,0,17
569,157,0,0,17
570,160,0,0,19
571,161,0,0,19
572,162,0,0,19
573,158,0,0,18
574,156,0,0,19
575,156,0,0,19
576,153,0,0,20
577,151,0,0,20
578,154,0,0,21
579,155,0,0,22
580,151,0,0,22
581,151,0,0,22
582,150,0,0,22
583,153,0,0,23
584,153,0,0,23
585,156,0,0,23
586,154,0,0,22
587,156,0,0,22
588,158,0,0,23
589,159,0,0,23
590,155,0,0,21
591,153,0,0,20
592,155,0,0,20
593,153,0,0,20
594,150,0,0,20
595,150,0,0,20
596,148,0,0,22
597,147,0,0,23
598,142,0,0,24
599,140,0,0,25
600,143,0,0,26
601,143,0,0,26
602,149,0,0,26
603,154,0,0,26
604,153,0,0,25
605,151,0,0,24
606,149,0,0,22
607,151,0,0,22
608,152,0,0,22
609,156,0,0,21
610,160,0,0,20
611,160,0,0,20
612,154,0,0,20
613,152,0,0,19
614,149,0,0,20
615,149,0,0,20
616,158,0,0,20
617,164,0,0,19
618,161,0,0,19
619,163,0,0,18
620,162,0,0,16
